"winner","season","round","team0","team1","team0_coach","team1_coach","team0_conf","team1_conf","team0_conf_standing","team1_conf_standing","prev_matchups","seed_diff","strength_diff","win_pct_diff","sos_loss_diff","sos_win_diff","best_win_diff","worst_loss_diff","common_opps_win_pct_diff"
1,2006,1,1125,1417,"rick_byrd","ben_howland","a_sun","pac_ten",1,1,NA,-13,-146.64705882353,0.151515151515151,-157.470588235294,-170.235294117647,-153.764705882353,-197,NA
0,2007,1,1130,1403,"al_skinner","bob_knight","acc","big_twelve",3.5,6.5,NA,3,23.0526315789473,-0.00879765395894494,20.8684210526316,25.958204334366,-9.89473684210523,-108.947368421053,1
0,2008,3,1314,1450,"roy_williams","tony_bennett","acc","pac_ten",1,3.5,NA,3,14.35,-0.191176470588235,-25.625,14.425,16.75,-0.599999999999994,NA
0,2021,0,1332,1234,"dana_altman","fran_mccaffery","pac_twelve","big_ten",3.5,3.5,NA,-5,-13.6666666666667,-0.0450928381962861,-47,-45.3,-11.3333333333333,-36.8666666666663,NA
1,2005,1,1429,1112,"stew_morrill","lute_olson","big_west","pac_ten",1,2,NA,-11,-41,0.043988269794721,-102.033333333333,-109.266666666667,-17.8666666666667,-206.266666666666,0
1,2006,2,1338,1133,"jamie_dixon","jim_les","big_east","mvc",2,2,NA,8,30.1764705882353,-0.10752688172043,19.7941176470589,79.7647058823532,29.1764705882353,45.117647058824,0
0,2012,1,1301,1361,"mark_gottfried","steve_fisher","acc","mwc",3.5,2,NA,-5,-10.6190476190476,0.127134724857685,9.4047619047619,-38.714285714286,-16.5714285714286,-5.42857142857099,0
0,2011,1,1246,1343,"john_calipari","sydney_johnson","sec","ivy",1,NA,NA,9,55.6666666666667,0.042424242424242,51.2857142857143,90.904761904762,55.4761904761904,142.904761904762,0
1,2014,3,1417,1196,"steve_alford","billy_donovan","pac_twelve","sec",1,1,NA,-3,-13.095238095238,0.176470588235294,-28.6666666666667,-11.7619047619047,5.04761904761904,-146.904761904762,0.5
1,2013,2,1235,1326,"fred_hoiberg","thad_matta","big_twelve","big_ten",3.5,1,NA,-8,-35.0952380952381,0.121212121212121,-21.0952380952381,-29.142857142857,-14.5238095238095,-168.52380952381,0.466666666666667
0,2006,1,1400,1335,"rick_barnes","fran_dunphy","big_twelve","ivy",2,NA,NA,13,100.058823529411,-0.114478114478114,42.3235294117647,144.411764705883,96.4117647058828,223.117647058823,-0.666666666666667
1,2011,1,1462,1266,"chris_mack","buzz_williams","a_ten","big_east",6.5,6.5,NA,5,8.2380952380952,-0.18595825426945,-22.5952380952381,-23.214285714285,-24.8095238095238,-131.857142857143,-0.083333333333333
1,2013,1,1328,1361,"lon_kruger","steve_fisher","big_twelve","mwc",6.5,3.5,NA,-3,-12.3333333333334,0.021505376344086,-11.8809523809523,3.73809523809599,6.33333333333334,-133.142857142857,NA
0,2009,1,1211,1103,"mark_few","keith_dambrot","wcc","mac",1,1,NA,9,92.1111111111112,-0.186274509803921,91.083333333333,68.055555555555,39,173.722222222222,NA
0,2017,5,1211,1376,"mark_few","frank_martin","wcc","sec",1,6.5,NA,6,35.7619047619047,-0.29227761485826,-21.904761904762,-66.8571428571428,3.85714285714287,31,-0.25
0,2015,3,1257,1301,"rick_pitino","mark_gottfried","acc","acc",6.5,6.5,0,4,20.15,-0.143939393939394,31.15,-34.1,-0.0499999999999998,75.5,-0.140350877192983
0,2013,2,1277,1272,"tom_izzo","josh_pastner","big_ten","cusa",3.5,1,NA,3,9.95238095238099,0.132352941176471,20.1904761904762,66.1666666666671,49.6190476190476,34.9047619047619,-0.5
0,2005,1,1437,1307,"jay_wright","ritchie_mckay","big_east","mwc",3.5,1,NA,7,22.8,0.0478309232480539,51.1333333333333,80.5666666666667,16.1333333333333,91.0000000000003,NA
