"winner","season","round","team0","team1","team0_seed","team1_seed","team0_strength","team1_strength","team0_win_pct","team0_strength_of_schedule_loss","team0_strength_of_schedule_win","team0_best_win","team0_worst_loss","team1_win_pct","team1_strength_of_schedule_loss","team1_strength_of_schedule_win","team1_best_win","team1_worst_loss","prev_matchups","team0_common_opps_win_pct","team1_common_opps_win_pct","team0_coach","team1_coach","team0_conf","team1_conf","team0_conf_standing","team1_conf_standing"
1,2010,2,1325,1397,14,6,109.5,20.8,0.588235294117647,123,173.975,75.55,208.95,0.757575757575758,27.45,119.45,1.05,90.6,NA,0.666666666666667,1,"john_groce","bruce_pearl","mac","sec",1,3.5
0,2012,2,1153,1199,6,3,29.8095238095238,17.8571428571429,0.705882352941177,55.7142857142857,104.47619047619,3.47619047619048,245.095238095238,0.727272727272727,45.4761904761905,95.7142857142857,4.71428571428571,223.666666666667,NA,1,0,"mick_cronin","leonard_hamilton","big_east","acc",2,1
1,2012,2,1166,1314,8,1,24.047619047619,4.71428571428571,0.848484848484849,88.2857142857143,121.380952380952,12.8571428571429,121.190476190476,0.852941176470588,17.8571428571429,101.047619047619,4.33333333333333,29.2857142857143,NA,0.75,1,"greg_mcdermott","roy_williams","mvc","acc",1,2
1,2005,4,1246,1277,2,5,9.2,14.4666666666667,0.833333333333333,16.2666666666667,90.9333333333333,9.26666666666667,71.3333333333333,0.785714285714286,23.7333333333333,136.866666666667,18.4666666666667,53.8,NA,1,0,"tubby_smith","tom_izzo","sec","big_ten",2,6.5
0,2011,2,1314,1449,2,7,11.6190476190476,29.3809523809524,0.787878787878788,31.952380952381,77,3.95238095238095,122.571428571429,0.696969696969697,60.7619047619048,107.285714285714,23.7142857142857,175.714285714286,NA,1,0.666666666666667,"roy_williams","lorenzo_romar","acc","pac_ten",2,1
0,2014,1,1437,1454,2,15,5.19047619047619,144.142857142857,0.875,11.7857142857143,92.3333333333333,7.33333333333333,92.3333333333333,0.606060606060606,165.380952380952,198.071428571429,65.0476190476191,295.666666666667,NA,1,0,"jay_wright","rob_jeter","big_east","horizon",6.5,1
0,2017,4,1314,1246,1,2,5.95238095238095,4.38095238095238,0.787878787878788,16.6666666666667,68,8,78.8095238095238,0.852941176470588,9.95238095238095,72.7619047619048,5.95238095238095,72.7619047619048,0,1,0.333333333333333,"roy_williams","john_calipari","acc","sec",3.5,1
0,2015,1,1328,1107,3,14,14.55,119.55,0.6875,17.7,53.175,9,104.7,0.75,189.675,265.35,89.5,296.8,NA,NA,NA,"lon_kruger","will_brown","big_twelve","aec",3.5,1
0,2010,2,1243,1140,2,7,6.65,13.65,0.78125,32.85,99.4,11.2,87.8,0.848484848484849,37.25,155.075,35.55,39.7,NA,1,0.5,"frank_martin","dave_rose","big_twelve","mwc",2,3.5
1,2015,2,1139,1323,6,3,25.7,9.7,0.6875,23.975,104.45,12.4,83.25,0.852941176470588,24.8,115.15,4.65,67.4,NA,0.666666666666667,0.666666666666667,"chris_holtmann","mike_brey","big_east","acc",6.5,1
1,2013,4,1196,1276,3,4,10.2857142857143,11.5714285714286,0.787878787878788,35.2380952380952,91.7857142857143,16.8095238095238,72.6190476190476,0.78125,9.71428571428571,101.190476190476,6.23809523809524,153.142857142857,NA,0.5,0.5,"billy_donovan","john_beilein","sec","big_ten",2,6.5
0,2005,2,1181,1280,1,9,4,34.0666666666667,0.833333333333333,47.6,74.4666666666667,2.2,86.6666666666667,0.6875,17.2666666666667,122.333333333333,16.2666666666667,124.266666666667,NA,0.5,1,"mike_krzyzewski","rick_stansbury","acc","sec",1,6.5
1,2005,1,1368,1329,15,2,133.466666666667,7.6,0.703703703703704,184.133333333333,255.333333333333,147.666666666667,291.933333333333,0.793103448275862,24.8666666666667,75.6,7.26666666666667,89.1333333333333,NA,0.666666666666667,1,"billy_kennedy","eddie_sutton","southland","big_twelve",1,1
0,2018,3,1260,1305,11,7,42.6315789473684,29.7894736842105,0.84375,137.684210526316,152.842105263158,26.8421052631579,217.157894736842,0.794117647058823,58.5263157894737,125.736842105263,36.1578947368421,140.578947368421,NA,0.833333333333333,1,"porter_moser","eric_musselman","mvc","mwc",1,3.5
1,2017,0,1448,1243,11,11,38.9047619047619,43.4761904761905,0.59375,18.3333333333333,97.0952380952381,9.47619047619048,51.9523809523809,0.606060606060606,20.1904761904762,126.857142857143,12.8095238095238,98.4761904761905,NA,1,1,"danny_manning","bruce_weber","acc","big_twelve",12,3.5
0,2016,1,1428,1201,3,14,15.0952380952381,81.1428571428571,0.757575757575758,16.7142857142857,61.8095238095238,14.952380952381,81.9047619047619,0.71875,96.5238095238095,151.238095238095,48.0952380952381,268.809523809524,NA,0.5,0.5,"larry_krystkowiak","rodney_terry","pac_twelve","mwc",2,1
1,2010,1,1396,1165,5,12,14.75,49.85,0.852941176470588,34.5,139.7,11.2,89.45,0.862068965517241,27.8,216.1,65.85,305.45,NA,0.777777777777778,0.625,"fran_dunphy","steve_donahue","a_ten","ivy",1,NA
0,2015,2,1301,1437,8,1,35.1,3.05,0.606060606060606,42.2,82.4,4.65,127.2,0.941176470588235,54.925,76.525,23.15,86.7,NA,1,1,"mark_gottfried","jay_wright","acc","big_east",6.5,1
